"year"|"conflictid_new"|"actor"|"conflict_type"|"conflict_country"|"ai_prev"|"hrw_prev"|"state_prev"|"actor_type"|"theta_static"|"theta_sd_static"|"theta_upper_static"|"theta_low_static"|"theta_dynamic"|"theta_sd_dynamic"|"theta_upper_dynamic"|"theta_low_dynamic"|"max_prev"|"lag_ai_prev"|"lag_hrw_prev"|"lag_state_prev"|"lag_max_prev"|"lag_theta_static"|"lag_theta_sd_static"|"lag_theta_dynamic"|"lag_theta_sd_dynamic"
2013|364|"Government"|"intra"|"India"|0|0|0|1|-0.356078427716531|0.81652065372355|1.07019364720509|-2.07250850009056|0.0457302424083891|0.834814192361221|1.46141610786097|-1.79553197056158|0|0|0|0|0|-0.420446009621832|0.778911602374179|-0.212151785362805|0.839904984809158
2014|364|"Government"|"intra"|"India"|0|0|0|1|-0.416256651817602|0.764467195401544|0.887202802898014|-2.03274802559513|-0.257526152691984|0.863730452865656|1.18283921672464|-2.19882850574664|0|0|0|0|0|-0.356078427716531|0.81652065372355|0.0457302424083891|0.834814192361221
2015|364|"Government"|"intra"|"India"|0|0|0|1|-0.444137198007223|0.804193455650011|0.942114057687653|-2.15425880815353|0.0791175052840652|0.767623959348204|1.38737033354558|-1.61927631954336|0|0|0|0|0|-0.416256651817602|0.764467195401544|-0.257526152691984|0.863730452865656
1990|364|"Rebels"|"intra"|"India"|0|1|0|3|0.694434021210383|0.506186530857649|1.56851512252793|-0.425337358359796|0.974132452675042|0.543027676607755|1.91397248523362|-0.241212818554169|1|0|NA|0|0|-0.274221635676773|0.824244168466324|-0.236482078022133|0.867439756851016
1991|364|"Rebels"|"intra"|"India"|0|1|0|3|0.693230604472456|0.504024695753091|1.55397405145558|-0.43489669060611|1.04711005956809|0.479472780291359|1.88583055141411|-0.0289475768786801|1|0|1|0|1|0.694434021210383|0.506186530857649|0.974132452675042|0.543027676607755
1992|364|"Rebels"|"intra"|"India"|1|1|0|3|1.18952538783919|0.393071038902167|1.948068282491|0.377967724352379|1.5516694979083|0.416002850410463|2.34049100946116|0.697667384439453|1|0|1|0|1|0.693230604472456|0.504024695753091|1.04711005956809|0.479472780291359
1993|364|"Rebels"|"intra"|"India"|0|1|0|3|0.702106058235376|0.500633059559909|1.5793950742415|-0.39681388845838|1.10140403436295|0.485831525258386|1.97741010777391|0.0485652651215524|1|1|1|0|1|1.18952538783919|0.393071038902167|1.5516694979083|0.416002850410463
1994|364|"Rebels"|"intra"|"India"|0|0|1|3|0.516424336285764|0.5485041341274|1.47221491555138|-0.717726152466757|0.993465635274032|0.498492646605158|1.87059730484566|-0.0751947489745595|1|0|1|0|1|0.702106058235376|0.500633059559909|1.10140403436295|0.485831525258386
1995|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.419915729306323|0.784888290166546|0.9683674560226|-2.1063546986164|0.0912436081115953|0.748654142404075|1.35945533083028|-1.57569095257661|0|0|0|1|1|0.516424336285764|0.5485041341274|0.993465635274032|0.498492646605158
1996|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.405421128470944|0.787329346839333|0.928629956932274|-2.07600785909521|0.0256686394078968|0.764087490292019|1.33625135273218|-1.63259257128392|0|0|0|0|0|-0.419915729306323|0.784888290166546|0.0912436081115953|0.748654142404075
1997|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.441683833280336|0.79738281027838|0.902282982911702|-2.13671400887994|0.210105068767886|0.724913862847347|1.40366541624767|-1.45209899229954|0|0|0|0|0|-0.405421128470944|0.787329346839333|0.0256686394078968|0.764087490292019
1998|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.428879332850386|0.784030393749362|0.894240809732802|-2.13008862836445|0.196534726165503|0.721790184365641|1.41564461949531|-1.35834210955964|0|0|0|0|0|-0.441683833280336|0.79738281027838|0.210105068767886|0.724913862847347
1999|364|"Rebels"|"intra"|"India"|0|0|1|3|0.524062257278137|0.542749203669141|1.45823307312829|-0.642139080490519|0.995444620331376|0.519903481380763|1.89957039963885|-0.129588706103423|1|0|0|0|0|-0.428879332850386|0.784030393749362|0.196534726165503|0.721790184365641
2000|364|"Rebels"|"intra"|"India"|0|0|1|3|0.517414062068754|0.543678131464318|1.45829990027413|-0.679289537083636|1.03339933962981|0.481654986249596|1.90955805960489|-0.0109689705542383|1|0|0|1|1|0.524062257278137|0.542749203669141|0.995444620331376|0.519903481380763
2001|364|"Rebels"|"intra"|"India"|0|0|1|3|0.517337262666248|0.529336531145626|1.41251070630762|-0.67703154111059|0.992900092049911|0.511833840622004|1.91048707217606|-0.109577145888564|1|0|0|1|1|0.517414062068754|0.543678131464318|1.03339933962981|0.481654986249596
2002|364|"Rebels"|"intra"|"India"|0|0|1|3|0.522720711649115|0.525824547084685|1.41099040143792|-0.667688659625276|0.959108603348843|0.517723498462076|1.89344589495189|-0.149973896961943|1|0|0|1|1|0.517337262666248|0.529336531145626|0.992900092049911|0.511833840622004
2003|364|"Rebels"|"intra"|"India"|0|0|1|3|0.640663836235179|0.578747220479247|1.66372489159381|-0.613032023930542|1.08331417470012|0.544573654787812|2.0471067630663|-0.092669667240903|1|0|0|1|1|0.522720711649115|0.525824547084685|0.959108603348843|0.517723498462076
2004|364|"Rebels"|"intra"|"India"|0|0|1|3|0.521737944111579|0.535815065065346|1.44346083770781|-0.658051825952733|0.95461839961038|0.511741680235169|1.84827628577734|-0.168541344500984|1|0|0|1|1|0.640663836235179|0.578747220479247|1.08331417470012|0.544573654787812
2005|364|"Rebels"|"intra"|"India"|0|0|1|3|0.52839969803502|0.522860482198594|1.42306165804792|-0.627629720978541|0.942412544599407|0.518252017311083|1.84130835432|-0.220336281295544|1|0|0|1|1|0.521737944111579|0.535815065065346|0.95461839961038|0.511741680235169
2006|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.428454389729994|0.790794893033527|0.945062691564017|-2.15648893507925|0.0193028004321754|0.769931297346244|1.32360803667027|-1.63148616794735|0|0|0|1|1|0.52839969803502|0.522860482198594|0.942412544599407|0.518252017311083
2007|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.418978983570228|0.782037914738192|0.932228805398657|-2.12282367897553|0.0801441482260099|0.753120289755192|1.32868050890936|-1.63809507826821|0|0|0|0|0|-0.428454389729994|0.790794893033527|0.0193028004321754|0.769931297346244
2008|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.429342227056838|0.805437840340659|0.939195802000668|-2.13062859701769|0.1266520559575|0.765388594333831|1.44285092228063|-1.58340529770313|0|0|0|0|0|-0.418978983570228|0.782037914738192|0.0801441482260099|0.753120289755192
2009|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.422037761538825|0.780912140385843|0.943542304311853|-2.13042739059845|0.00803364874494942|0.769017079624109|1.31101618578666|-1.6796890241234|0|0|0|0|0|-0.429342227056838|0.805437840340659|0.1266520559575|0.765388594333831
2010|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.421258769746391|0.801853277000398|0.939161177207962|-2.14901596111623|-0.120151788153186|0.841248860999924|1.33453708147218|-1.92124627378386|0|0|0|0|0|-0.422037761538825|0.780912140385843|0.00803364874494942|0.769017079624109
2011|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.397579797842566|0.779853295645704|0.962917492065492|-2.07905160683332|0.254697052944007|0.742202567824463|1.48663416932729|-1.37759908829112|0|0|0|0|0|-0.421258769746391|0.801853277000398|-0.120151788153186|0.841248860999924
2012|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.404970288656757|0.780624859324246|0.946912537707967|-2.06834503675641|-0.221616423452062|0.863655932597953|1.23542532939091|-2.05115801392325|0|0|0|0|0|-0.397579797842566|0.779853295645704|0.254697052944007|0.742202567824463
2013|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.346504438260129|0.800789700652082|1.05437535886148|-2.07451029126708|0.0521451907443366|0.827021299757168|1.46509669102701|-1.71216762495182|0|0|0|0|0|-0.404970288656757|0.780624859324246|-0.221616423452062|0.863655932597953
2014|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.41841379591797|0.788961807809576|0.914870269307598|-2.19293369937029|-0.259261360172976|0.863678257458673|1.23373238354613|-2.09424832983711|0|0|0|0|0|-0.346504438260129|0.800789700652082|0.0521451907443366|0.827021299757168
2015|364|"Rebels"|"intra"|"India"|0|0|0|3|-0.426341215370603|0.781137774778303|0.90643073677952|-2.08931014234609|0.0596062678886134|0.811880351500626|1.4018136193257|-1.72236712845086|0|0|0|0|0|-0.41841379591797|0.788961807809576|-0.259261360172976|0.863678257458673
1990|365|"Government"|"intra"|"India"|1|0|1|1|1.25539651564384|0.455348016266763|2.13093259697224|0.311354988357079|1.55331615263933|0.459732379991303|2.40626329502329|0.636374039773709|1|NA|NA|NA|NA|NA|NA|NA|NA
1994|365|"Government"|"intra"|"India"|0|0|0|1|-0.421920158494584|0.799266061686615|0.932632053847442|-2.16330281238495|-0.297459935237676|0.836916430983994|1.14712577319709|-2.05226878908112|0|0|0|0|0|-0.323915696694728|0.83626100076713|-0.173257540718373|0.83889885125143
1995|365|"Government"|"intra"|"India"|0|0|0|1|-0.433651084258673|0.785780173198097|0.891164221322431|-2.18763615014557|-0.0291109752855761|0.77831000893165|1.29736695948935|-1.74039710091907|0|0|0|0|0|-0.421920158494584|0.799266061686615|-0.297459935237676|0.836916430983994
1996|365|"Government"|"intra"|"India"|0|0|0|1|-0.406796637927047|0.771608142824544|0.914800965285281|-2.06966794568879|0.0486819865295838|0.763348923535428|1.35661116913117|-1.63164017529779|0|0|0|0|0|-0.433651084258673|0.785780173198097|-0.0291109752855761|0.77831000893165
1997|365|"Government"|"intra"|"India"|0|1|0|1|0.686536038110925|0.495315449376203|1.54810080934789|-0.418131838370821|1.09725687830447|0.501139807097178|1.98278668137553|0.0267009860048314|1|0|0|0|0|-0.406796637927047|0.771608142824544|0.0486819865295838|0.763348923535428
1998|365|"Government"|"intra"|"India"|0|0|0|1|-0.434613413443584|0.805763390322853|0.952512751124731|-2.08642477277017|0.176115513383075|0.733571012074228|1.38027769410947|-1.43637402878709|0|0|1|0|1|0.686536038110925|0.495315449376203|1.09725687830447|0.501139807097178
1999|365|"Government"|"intra"|"India"|0|0|0|1|-0.420749057432058|0.766747368957099|0.891206361091162|-2.07542792935262|0.102943251743547|0.741957122759025|1.36895214017329|-1.50052717541894|0|0|0|0|0|-0.434613413443584|0.805763390322853|0.176115513383075|0.733571012074228
2000|365|"Government"|"intra"|"India"|0|0|0|1|-0.428370045082646|0.769342122583634|0.892408859807877|-2.11728778331202|0.0345600937168776|0.766630170735351|1.3369219044545|-1.60639703882684|0|0|0|0|0|-0.420749057432058|0.766747368957099|0.102943251743547|0.741957122759025
2001|365|"Government"|"intra"|"India"|0|0|0|1|-0.417513107914053|0.786031671028197|0.950380882108919|-2.09440489394538|0.218142426325349|0.706686179581201|1.43595402715862|-1.32650228244896|0|0|0|0|0|-0.428370045082646|0.769342122583634|0.0345600937168776|0.766630170735351
2002|365|"Government"|"intra"|"India"|0|0|0|1|-0.419509276059285|0.775877280067369|0.93623305224457|-2.05073697101044|0.172332090442497|0.742814781053368|1.43295055997599|-1.45447309576252|0|0|0|0|0|-0.417513107914053|0.786031671028197|0.218142426325349|0.706686179581201
2003|365|"Government"|"intra"|"India"|0|0|0|1|-0.381317258020391|0.803153595419278|1.03854264976305|-2.07630578133876|0.234373368054162|0.749620427338832|1.53593745589326|-1.45014564263107|0|0|0|0|0|-0.419509276059285|0.775877280067369|0.172332090442497|0.742814781053368
2004|365|"Government"|"intra"|"India"|0|0|0|1|-0.417009991377316|0.782550991382881|0.917001871972947|-2.0945857274983|0.240022268497781|0.714373406692427|1.47117368343653|-1.36949072959923|0|0|0|0|0|-0.381317258020391|0.803153595419278|0.234373368054162|0.749620427338832
